TIME,PROCESSES,ROWS,COLS,GENERATIONS
58.179410,1,1000,24000,100
59.174655,2,2000,24000,100
108.500737,3,3000,24000,100
112.802381,4,4000,24000,100
113.621657,5,5000,24000,100
114.903716,6,6000,24000,100
117.241738,7,7000,24000,100
117.152333,8,8000,24000,100
117.977483,9,9000,24000,100
118.865757,10,10000,24000,100
120.957683,11,11000,24000,100
121.233024,12,12000,24000,100
124.830857,13,13000,24000,100
126.501765,14,14000,24000,100
123.429119,15,15000,24000,100
125.781462,16,16000,24000,100
125.730205,17,17000,24000,100
125.196862,18,18000,24000,100
126.498432,19,19000,24000,100
126.974809,20,20000,24000,100
127.351101,21,21000,24000,100
128.740454,22,22000,24000,100
129.233516,23,23000,24000,100
130.418855,24,24000,24000,100